offset_hex,size_bytes,domain,name,type,min_raw,max_raw,step_raw,parameters,default,risk,state,description_fr,ifr_help
0x3C,1,,Energy Efficient P-state,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟡,✅ IFR,Active/désactive les P-states optimisés pour l'efficacité énergétique.,"Enable/Disable Energy Efficient P-state feature. When set to 0, will disable access to ENERGY_PERFORMANCE_BIAS MSR and CPUID Function will read 0 indicating no support for Energy Efficient policy setting. When set to 1 will enable access to ENERGY_PERFORMANCE_BIAS MSR and CPUID Function will read 1 indicating Energy Efficient policy setting is supported."
0x3D,1,,CState Pre-Wake,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟠,✅ IFR,Contrôle le pré-réveil des C-states pour réduire la latence de sortie.,Disable - to 1 to disable the Cstate Pre-Wake
0x3F,1,,C-State Auto Demotion,OneOf,0,1,0,0 Disabled · 1 C1 (def),1 (C1),🟠,✅ IFR,Autorise le CPU à rétrograder automatiquement vers un C-state moins profond.,Configure C-State Auto Demotion
0x40,1,,C-State Un-demotion,OneOf,0,1,0,0 Disabled · 1 C1 (def),1 (C1),🟠,✅ IFR,Autorise le retour depuis une auto-demotion de C-state.,Configure C-State Un-demotion
0x41,1,,Package C-State Demotion,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟠,✅ IFR,Contrôle la demotion automatique des C-states au niveau package.,Package C-State Demotion
0x42,1,,Package C-State Un-demotion,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟠,✅ IFR,Contrôle l'annulation de la demotion des C-states package.,Package C-State Un-demotion
0x43,1,,Thermal Monitor,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🔴,✅ IFR,Active/désactive le mécanisme de surveillance thermique du CPU.,Enable/Disable Thermal Monitor
0x45,1,,Configurable Base Power Boot Mode,OneOf,0,2,0,0 Nominal (Base Power) (def) · 1 Min Assured Power,0 (Nominal (Base Power)),🟠,✅ IFR,Choisit le profil de puissance de base configurable appliqué au démarrage.,Assured Power (cTDP) Mode as Nominal/Level1/Level2/Deactivate Base Power (TDP) selection. Deactivate option will set MSR to Nominal and MMIO to Zero.
0x48,1,,Timed MWAIT,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🟡,✅ IFR,Active le comportement MWAIT temporisé utilisé par la gestion d'énergie.,Enable/Disable Timed MWAIT Support
0x49,1,,IO MWAIT Redirection,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🟡,✅ IFR,Contrôle la redirection I/O vers MWAIT.,"When set, will map IO_read instructions sent to IO registers PMG_IO_BASE_ADDRBASE+offset to MWAIT(offset)"
0x4A,1,,Interrupt Redirection Mode Selection,OneOf,0,7,0,0 Fixed Priority (def) · 1 Round robin · 2 Hash Vector · 7 No Change,0 (Fixed Priority),🟡,✅ IFR,Sélectionne le mode de redirection des interruptions utilisé par la gestion CPU.,Interrupt Redirection Mode Select for Logical Interrupts
0x4B,1,,Package C State Limit,OneOf,0,255,0,0 C0/C1 · 1 C2 · 2 C3 · 3 C6 · 8 C10 · 254 Cpu Default · 255 Auto,255,🟠,✅ IFR,Fixe la profondeur maximale de C-state autorisée pour le package.,Maximum Package C State Limit Setting. Cpu Default: Leaves to Factory default value.Auto: Initializes to deepest available Package C State Limit.
0x6B,1,,Disable VR Thermal Alert,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🔴,✅ IFR,Contrôle la désactivation des alertes thermiques du régulateur de tension (VR). Variable critique.,Enable/Disable VR Thermal Alert
0x6D,1,,PROCHOT Response,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🔴,✅ IFR,Contrôle la réponse du processeur au signal PROCHOT. Variable critique de protection thermique.,Enable/Disable PROCHOT Response
0xFA,1,,Overclocking Lock,OneOf,0,1,0,0 clear/disabled · 1 locked/enabled,—,🟠,🧪 testé,Verrou de la voie overclocking/OC. Le passage à 0 a bien libéré l'OC Lock observé dans MSR 0x194 sur la machine testée.,"Observed/tested CpuSetup lock controlling the OC lock state. Clearing it changed the observed MSR 0x194 OC-lock state, but did not clear Undervolt Protection."
0xFB,1,,CPU Run Control,OneOf,0,2,0,0 Disabled · 1 Enabled · 2 No Change,—,🟡,✅ IFR,"Contrôle le support CPU Run Control (débogage/exécution), avec possibilité de laisser la valeur matérielle inchangée.",Enable/Disable CPU Run Control Support; No Change : Comply with HW value
0xFC,1,,CPU Run Control Lock,OneOf,0,1,0,0..1,—,🟠,✅ IFR,Verrouille la configuration CPU Run Control.,Enable/Disable CPU Run Control Lock
0xFF,1,,Processor Trace OutPut Scheme,OneOf,0,1,0,0 Single Range · 1 ToPA,—,🟡,✅ IFR,Sélectionne le format de sortie Intel Processor Trace (Single Range ou ToPA).,Select Single Range Output scheme or ToPA table Output scheme
0x101,1,,Processor trace,OneOf,0,1,0,0..1,—,🟡,✅ IFR,Active/désactive Intel Processor Trace ; l'activation lance immédiatement la collecte de trace selon l'IFR.,Enable/Disable processor trace feature from CPU MSR. Enabling this feature will immediately start trace collection.
0x103,1,,Three Strike Counter,OneOf,0,1,0,0..1,—,🟡,✅ IFR,Active/désactive le mécanisme CPU Three Strike Counter.,Enable/Disable Three Strike Counter
0x105,1,,PSYS Slope,Numeric,0,200,1,0..200 raw /100; 0=AUTO,0,🔴,✅ IFR,Calibre la pente de mesure PSYS (puissance système). 0 laisse le matériel/BIOS en automatique.,"PSYS Slope defined in 1/100 increments. Range is 0-200. For a 1.25 slope, enter 125. 0 = AUTO."
0x106,4,,PSYS Offset,Numeric,0,128000,1,0..128000 raw /1000,0,🔴,✅ IFR,Calibre l'offset de mesure PSYS ; le signe est défini séparément par PSYS Prefix.,"PSYS Offset defined in 1/1000 increments. Range is 0-128000. For an offset of 25.348, enter 25348."
0x10A,1,,PSYS Prefix,OneOf,0,1,0,0 + (def) · 1 -,0 (+),🔴,✅ IFR,Sélectionne le signe + ou - de l'offset PSYS.,Sets the offset value as positive or negative.
0x10B,2,,PSYS PMax Power,Numeric,0,8191,1,"0..8191 raw, pas 0,125 W (1023.88 W max IFR)",0,🔴,✅ IFR,"Définit la puissance maximale PSYS communiquée au contrôleur, en pas de 1/8 W ; 0 = automatique.","PSYS PMax power, defined in 1/8 Watt increments. Range 0-8191. For a PMax of 125W, enter 1000. 0 = AUTO."
0x10D,1,P-core,VR Config Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟠,👀 IFR + lecture live,Active la configuration VR personnalisée pour le domaine P-core ; 0 laisse ce bloc désactivé.,VR Config Enable
0x10E,1,GT/iGPU,VR Config Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟠,👀 IFR + lecture live,Active la configuration VR personnalisée pour le domaine GT/iGPU ; 0 laisse ce bloc désactivé.,VR Config Enable
0x10F,1,SA,VR Config Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟠,👀 IFR + lecture live,Active la configuration VR personnalisée pour le domaine SA ; 0 laisse ce bloc désactivé.,VR Config Enable
0x110,1,E-core,VR Config Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟠,👀 IFR + lecture live,Active la configuration VR personnalisée pour le domaine E-core ; 0 laisse ce bloc désactivé.,VR Config Enable
0x111,1,L2,VR Config Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟠,✅ IFR,Active la configuration VR personnalisée pour le domaine L2 ; 0 laisse ce bloc désactivé.,VR Config Enable
0x112,1,VDDQ,VR Config Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟠,✅ IFR,Active la configuration VR personnalisée pour le domaine VDDQ ; 0 laisse ce bloc désactivé.,VR Config Enable
0x113,2,P-core,AC Loadline,Numeric,0,6249,0,0..6249 raw = 0.00..62.49 mΩ; 0=AUTO,0,🔴,👀 IFR + lecture live,Règle l'AC load-line du VR P-core en 1/100 mΩ ; 0 = AUTO/HW default.,"AC Loadline defined in 1/100 mOhms. A value of 100 = 1.00 mOhm, and 1255 = 12.55 mOhm. Range is 0-6249 (0-62.49 mOhms). 0 = AUTO/HW default."
0x115,2,GT/iGPU,AC Loadline,Numeric,0,6249,0,0..6249 raw = 0.00..62.49 mΩ; 0=AUTO,0,🔴,👀 IFR + lecture live,Règle l'AC load-line du VR GT/iGPU en 1/100 mΩ ; 0 = AUTO/HW default.,"AC Loadline defined in 1/100 mOhms. A value of 100 = 1.00 mOhm, and 1255 = 12.55 mOhm. Range is 0-6249 (0-62.49 mOhms). 0 = AUTO/HW default."
0x117,2,SA,AC Loadline,Numeric,0,6249,0,0..6249 raw = 0.00..62.49 mΩ; 0=AUTO,0,🔴,👀 IFR + lecture live,Règle l'AC load-line du VR SA en 1/100 mΩ ; 0 = AUTO/HW default.,"AC Loadline defined in 1/100 mOhms. A value of 100 = 1.00 mOhm, and 1255 = 12.55 mOhm. Range is 0-6249 (0-62.49 mOhms). 0 = AUTO/HW default."
0x119,2,E-core,AC Loadline,Numeric,0,6249,0,0..6249 raw = 0.00..62.49 mΩ; 0=AUTO,0,🔴,👀 IFR + lecture live,Règle l'AC load-line du VR E-core en 1/100 mΩ ; 0 = AUTO/HW default.,"AC Loadline defined in 1/100 mOhms. A value of 100 = 1.00 mOhm, and 1255 = 12.55 mOhm. Range is 0-6249 (0-62.49 mOhms). 0 = AUTO/HW default."
0x11B,2,L2,AC Loadline,Numeric,0,6249,0,0..6249 raw = 0.00..62.49 mΩ; 0=AUTO,0,🔴,✅ IFR,Règle l'AC load-line du VR L2 en 1/100 mΩ ; 0 = AUTO/HW default.,"AC Loadline defined in 1/100 mOhms. A value of 100 = 1.00 mOhm, and 1255 = 12.55 mOhm. Range is 0-6249 (0-62.49 mOhms). 0 = AUTO/HW default."
0x11F,2,P-core,DC Loadline,Numeric,0,6249,0,0..6249 raw = 0.00..62.49 mΩ; 0=AUTO,0,🔴,👀 IFR + lecture live,Règle la DC load-line du VR P-core en 1/100 mΩ ; 0 = AUTO/HW default.,"DC Loadline defined in 1/100 mOhms. A value of 100 = 1.00 mOhm, and 1255 = 12.55 mOhm. Range is 0-6249 (0-62.49 mOhms). 0 = AUTO/HW default."
0x121,2,GT/iGPU,DC Loadline,Numeric,0,6249,0,0..6249 raw = 0.00..62.49 mΩ; 0=AUTO,0,🔴,👀 IFR + lecture live,Règle la DC load-line du VR GT/iGPU en 1/100 mΩ ; 0 = AUTO/HW default.,"DC Loadline defined in 1/100 mOhms. A value of 100 = 1.00 mOhm, and 1255 = 12.55 mOhm. Range is 0-6249 (0-62.49 mOhms). 0 = AUTO/HW default."
0x123,2,SA,DC Loadline,Numeric,0,6249,0,0..6249 raw = 0.00..62.49 mΩ; 0=AUTO,0,🔴,👀 IFR + lecture live,Règle la DC load-line du VR SA en 1/100 mΩ ; 0 = AUTO/HW default.,"DC Loadline defined in 1/100 mOhms. A value of 100 = 1.00 mOhm, and 1255 = 12.55 mOhm. Range is 0-6249 (0-62.49 mOhms). 0 = AUTO/HW default."
0x125,2,E-core,DC Loadline,Numeric,0,6249,0,0..6249 raw = 0.00..62.49 mΩ; 0=AUTO,0,🔴,👀 IFR + lecture live,Règle la DC load-line du VR E-core en 1/100 mΩ ; 0 = AUTO/HW default.,"DC Loadline defined in 1/100 mOhms. A value of 100 = 1.00 mOhm, and 1255 = 12.55 mOhm. Range is 0-6249 (0-62.49 mOhms). 0 = AUTO/HW default."
0x127,2,L2,DC Loadline,Numeric,0,6249,0,0..6249 raw = 0.00..62.49 mΩ; 0=AUTO,0,🔴,✅ IFR,Règle la DC load-line du VR L2 en 1/100 mΩ ; 0 = AUTO/HW default.,"DC Loadline defined in 1/100 mOhms. A value of 100 = 1.00 mOhm, and 1255 = 12.55 mOhm. Range is 0-6249 (0-62.49 mOhms). 0 = AUTO/HW default."
0x12B,2,P-core,PS Current Threshold1,Numeric,0,152,1,"0..152 raw, pas 0,25 A (38 A max IFR); 0=AUTO/0 selon champ",38,🔴,✅ IFR,"Fixe le seuil 1 de Power State du VR P-core, en pas de 1/4 A ; 0 = AUTO.","PS Current Threshold1, defined in 1/4 A increments. A value of 400 = 100A. Range 0-152, which translates to 0-38A. 0 = AUTO."
0x12D,2,GT/iGPU,PS Current Threshold1,Numeric,0,152,1,"0..152 raw, pas 0,25 A (38 A max IFR); 0=AUTO/0 selon champ",38,🔴,✅ IFR,"Fixe le seuil 1 de Power State du VR GT/iGPU, en pas de 1/4 A ; 0 = AUTO.","PS Current Threshold1, defined in 1/4 A increments. A value of 400 = 100A. Range 0-152, which translates to 0-38A. 0 = AUTO."
0x12F,2,SA,PS Current Threshold1,Numeric,0,152,1,"0..152 raw, pas 0,25 A (38 A max IFR); 0=AUTO/0 selon champ",38,🔴,✅ IFR,"Fixe le seuil 1 de Power State du VR SA, en pas de 1/4 A ; 0 = AUTO.","PS Current Threshold1, defined in 1/4 A increments. A value of 400 = 100A. Range 0-152, which translates to 0-38A. 0 = AUTO."
0x131,2,E-core,PS Current Threshold1,Numeric,0,152,1,"0..152 raw, pas 0,25 A (38 A max IFR); 0=AUTO/0 selon champ",38,🔴,✅ IFR,"Fixe le seuil 1 de Power State du VR E-core, en pas de 1/4 A ; 0 = AUTO.","PS Current Threshold1, defined in 1/4 A increments. A value of 400 = 100A. Range 0-152, which translates to 0-38A. 0 = AUTO."
0x133,2,L2,PS Current Threshold1,Numeric,0,48,1,"0..48 raw, pas 0,25 A (12 A max IFR); 0=AUTO/0 selon champ",12,🔴,✅ IFR,"Fixe le seuil 1 de Power State du VR L2, en pas de 1/4 A ; 0 = AUTO.","PS Current Threshold1, defined in 1/4 A increments. A value of 400 = 100A. Range 0-152, which translates to 0-38A. 0 = AUTO."
0x137,2,P-core,PS Current Threshold2,Numeric,0,48,1,"0..48 raw, pas 0,25 A (12 A max IFR); 0=AUTO/0 selon champ",12,🔴,✅ IFR,"Fixe le seuil 2 de Power State du VR P-core, en pas de 1/4 A ; 0 = AUTO.","PS Current Threshold2, defined in 1/4 A increments. A value of 400 = 100A. Range 0-48, which translates to 0-12A.Make sure PS2<=PS1. 0 = AUTO."
0x139,2,GT/iGPU,PS Current Threshold2,Numeric,0,48,1,"0..48 raw, pas 0,25 A (12 A max IFR); 0=AUTO/0 selon champ",12,🔴,✅ IFR,"Fixe le seuil 2 de Power State du VR GT/iGPU, en pas de 1/4 A ; 0 = AUTO.","PS Current Threshold2, defined in 1/4 A increments. A value of 400 = 100A. Range 0-48, which translates to 0-12A.Make sure PS2<=PS1. 0 = AUTO."
0x13B,2,SA,PS Current Threshold2,Numeric,0,48,1,"0..48 raw, pas 0,25 A (12 A max IFR); 0=AUTO/0 selon champ",12,🔴,✅ IFR,"Fixe le seuil 2 de Power State du VR SA, en pas de 1/4 A ; 0 = AUTO.","PS Current Threshold2, defined in 1/4 A increments. A value of 400 = 100A. Range 0-48, which translates to 0-12A.Make sure PS2<=PS1. 0 = AUTO."
0x13D,2,E-core,PS Current Threshold2,Numeric,0,48,1,"0..48 raw, pas 0,25 A (12 A max IFR); 0=AUTO/0 selon champ",12,🔴,✅ IFR,"Fixe le seuil 2 de Power State du VR E-core, en pas de 1/4 A ; 0 = AUTO.","PS Current Threshold2, defined in 1/4 A increments. A value of 400 = 100A. Range 0-48, which translates to 0-12A.Make sure PS2<=PS1. 0 = AUTO."
0x13F,2,L2,PS Current Threshold2,Numeric,0,48,1,"0..48 raw, pas 0,25 A (12 A max IFR); 0=AUTO/0 selon champ",0,🔴,✅ IFR,"Fixe le seuil 2 de Power State du VR L2, en pas de 1/4 A ; 0 = AUTO.","PS Current Threshold2, defined in 1/4 A increments. A value of 400 = 100A. Range 0-48, which translates to 0-12A.Make sure PS2<=PS1. 0 = AUTO."
0x143,2,P-core,PS Current Threshold3,Numeric,0,16,1,"0..16 raw, pas 0,25 A (4 A max IFR); 0=AUTO/0 selon champ",4,🔴,✅ IFR,"Fixe le seuil 3 de Power State du VR P-core, en pas de 1/4 A ; 0 = AUTO.","PS Current Threshold3, defined in 1/4 A increments. A value of 400 = 100A. Range 0-16, which translates to 0-4A.Make sure PS3<=PS2. 0 = AUTO."
0x145,2,GT/iGPU,PS Current Threshold3,Numeric,0,16,1,"0..16 raw, pas 0,25 A (4 A max IFR); 0=AUTO/0 selon champ",4,🔴,✅ IFR,"Fixe le seuil 3 de Power State du VR GT/iGPU, en pas de 1/4 A ; 0 = AUTO.","PS Current Threshold3, defined in 1/4 A increments. A value of 400 = 100A. Range 0-16, which translates to 0-4A.Make sure PS3<=PS2. 0 = AUTO."
0x147,2,SA,PS Current Threshold3,Numeric,0,16,1,"0..16 raw, pas 0,25 A (4 A max IFR); 0=AUTO/0 selon champ",4,🔴,✅ IFR,"Fixe le seuil 3 de Power State du VR SA, en pas de 1/4 A ; 0 = AUTO.","PS Current Threshold3, defined in 1/4 A increments. A value of 400 = 100A. Range 0-16, which translates to 0-4A.Make sure PS3<=PS2. 0 = AUTO."
0x149,2,E-core,PS Current Threshold3,Numeric,0,16,1,"0..16 raw, pas 0,25 A (4 A max IFR); 0=AUTO/0 selon champ",4,🔴,✅ IFR,"Fixe le seuil 3 de Power State du VR E-core, en pas de 1/4 A ; 0 = AUTO.","PS Current Threshold3, defined in 1/4 A increments. A value of 400 = 100A. Range 0-16, which translates to 0-4A.Make sure PS3<=PS2. 0 = AUTO."
0x14B,2,L2,PS Current Threshold3,Numeric,0,16,1,"0..16 raw, pas 0,25 A (4 A max IFR); 0=AUTO/0 selon champ",0,🔴,✅ IFR,"Fixe le seuil 3 de Power State du VR L2, en pas de 1/4 A ; 0 = AUTO.","PS Current Threshold3, defined in 1/4 A increments. A value of 400 = 100A. Range 0-16, which translates to 0-4A.Make sure PS3<=PS2. 0 = AUTO."
0x14F,1,P-core,PSI3 Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟡,✅ IFR,Active/désactive PSI3 pour le VR P-core.,"PSI3 Enable/Disable. 0 - Disabled, 1 - Enabled."
0x150,1,GT/iGPU,PSI3 Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟡,✅ IFR,Active/désactive PSI3 pour le VR GT/iGPU.,"PSI3 Enable/Disable. 0 - Disabled, 1 - Enabled."
0x151,1,SA,PSI3 Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟡,✅ IFR,Active/désactive PSI3 pour le VR SA.,"PSI3 Enable/Disable. 0 - Disabled, 1 - Enabled."
0x152,1,E-core,PSI3 Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟡,✅ IFR,Active/désactive PSI3 pour le VR E-core.,"PSI3 Enable/Disable. 0 - Disabled, 1 - Enabled."
0x153,1,L2,PSI3 Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟡,✅ IFR,Active/désactive PSI3 pour le VR L2.,"PSI3 Enable/Disable. 0 - Disabled, 1 - Enabled."
0x154,1,VDDQ,PSI3 Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟡,✅ IFR,Active/désactive PSI3 pour le VR VDDQ.,"PSI3 Enable/Disable. 0 - Disabled, 1 - Enabled."
0x155,1,P-core,PSI4 Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟡,✅ IFR,Active/désactive PSI4 pour le VR P-core.,"PSI4 Enable/Disable. 0 - Disabled, 1 - Enabled."
0x156,1,GT/iGPU,PSI4 Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟡,✅ IFR,Active/désactive PSI4 pour le VR GT/iGPU.,"PSI4 Enable/Disable. 0 - Disabled, 1 - Enabled."
0x157,1,SA,PSI4 Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟡,✅ IFR,Active/désactive PSI4 pour le VR SA.,"PSI4 Enable/Disable. 0 - Disabled, 1 - Enabled."
0x158,1,E-core,PSI4 Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟡,✅ IFR,Active/désactive PSI4 pour le VR E-core.,"PSI4 Enable/Disable. 0 - Disabled, 1 - Enabled."
0x159,1,L2,PSI4 Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟡,✅ IFR,Active/désactive PSI4 pour le VR L2.,"PSI4 Enable/Disable. 0 - Disabled, 1 - Enabled."
0x15A,1,VDDQ,PSI4 Enable,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟡,✅ IFR,Active/désactive PSI4 pour le VR VDDQ.,"PSI4 Enable/Disable. 0 - Disabled, 1 - Enabled."
0x15B,2,P-core,IMON Slope,Numeric,0,1999,1,0..1999 raw /1000; 0=AUTO,0,🔴,✅ IFR,Calibre la pente de télémétrage IMON du VR P-core en millièmes ; 0 = AUTO.,"IMON Slope defined in 1/1000 increments. Range is 0-1999. For a 1.25 slope, enter 1250. 0 = AUTO."
0x15D,2,GT/iGPU,IMON Slope,Numeric,0,1999,1,0..1999 raw /1000; 0=AUTO,0,🔴,✅ IFR,Calibre la pente de télémétrage IMON du VR GT/iGPU en millièmes ; 0 = AUTO.,"IMON Slope defined in 1/1000 increments. Range is 0-1999. For a 1.25 slope, enter 1250. 0 = AUTO."
